firm_ID,event_date,realized_earnings,earnings_forecast,lagged_ME
1,2017-05-08,421.79,500.38,8285.87
2,2017-08-28,131.49,144.13,1551.31
3,2017-10-17,459.3,463.03,3154.17
4,2017-10-17,976.94,1298.48,19323.19
5,2017-02-09,706.28,779.63,9351.8
6,2017-05-23,530.62,544.65,7558.49
7,2017-05-16,613.26,717,11947.42
8,2017-03-08,142.95,157.86,2215.57
9,2017-10-10,802.61,792.09,13913.73
10,2018-02-23,582.51,601.22,11213.73
11,2017-06-13,609.18,642.74,6159.66
12,2018-02-16,990.99,993.26,9105.54
13,2017-11-09,410.68,425.78,4029.27
14,2017-11-30,902,917.9,9186.39
15,2017-03-27,120.89,126.66,1082.1
16,2017-12-08,417.55,462.89,3650.89
17,2018-01-29,288.56,318.2,2960.51
18,2018-01-31,154.66,160.77,1244.83
19,2017-12-11,306.37,332.75,2648.91
20,2017-03-22,165.94,166.38,2501.02
21,2017-05-11,332.12,430.2,6537.29
22,2017-04-27,912.79,916.2,5521.37
23,2017-06-16,275.47,294.71,4521.58
24,2017-06-20,346.55,404.42,6562.22
25,2017-10-11,667.04,714.39,8305.28
26,2017-06-19,648.77,668.08,10256.67
27,2017-05-16,985.35,995.25,9861.3
28,2017-01-19,974.59,1015.3,9575.7
29,2018-03-15,646.01,714.96,10805.58
30,2017-08-08,396.13,408.79,2568.37
31,2017-04-14,914.36,959.2,8386.56
32,2017-12-19,644.45,682.98,8225.05
33,2018-02-14,224.61,244.03,2925.83
34,2017-07-19,142.62,148.95,1225.78
35,2017-02-06,917.2,998.51,16304.59
36,2017-11-16,513.76,525.48,2980.14
37,2017-05-16,391.67,423.19,7727.36
38,2017-03-01,602.55,629.03,8625.68
39,2017-01-04,815.69,866.57,6256.19
40,2017-09-11,552.06,621.67,5803.51
41,2017-09-08,224.94,239.88,4366.21
42,2017-05-30,850.8,874.82,4995.34
43,2018-02-02,850.6,917.34,15163
44,2017-05-29,530.35,527.41,8624.7
45,2018-03-27,723.64,767.97,7015.38
46,2018-01-15,843.21,897.1,11347.41
47,2017-11-27,789.08,761.76,15243.38
48,2017-01-27,711.98,759.45,13655.44
49,2018-02-13,395.29,429.33,4369.55
50,2017-10-27,858.39,900.94,12918.1
51,2017-02-13,607.86,671.09,4705.66
52,2017-02-10,134.61,143.61,2490.35
53,2017-07-28,496.59,493.6,6598.77
54,2017-03-09,797.94,822.65,6205.4
55,2017-11-14,723.06,763.83,11498.92
56,2017-01-20,248.76,275.79,4711.37
57,2017-01-04,544.95,609.28,6401.62
58,2017-08-28,236.07,272.2,2898.44
59,2017-10-10,417.62,434.6,7761.87
60,2018-01-26,781.36,851.85,11036.78
